country_name,country_code,regime_category_index,spatial_democracy,parliament_chambers,lower_house_members,spatial_electoral,electoral_category_index,is_monarchy,is_democracy,is_presidential,is_colony,is_communist,has_proportional_voting,has_full_suffrage,is_multiparty,has_free_and_fair_election,has_alternation,has_new_constitution
Jordan,JOR,5.0,0.2,2.0,150.0,1.8,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Kazakhstan,KAZ,3.0,0.2,2.0,107.0,1.8,2.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
Kenya,KEN,3.0,0.0,2.0,224.0,1.2,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
Kiribati,KIR,0.0,0.6666666666666666,1.0,46.0,2.6666666666666665,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
"Korea, People's Republic",PRK,4.0,0.3333333333333333,1.0,687.0,1.6666666666666667,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
"Korea, Republic of",KOR,2.0,0.3333333333333333,1.0,300.0,1.3333333333333333,3.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
Kuwait,KWT,5.0,0.0,1.0,50.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Kyrgyzstan,KGZ,1.0,0.0,1.0,120.0,1.5,3.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
Laos,LAO,3.0,0.0,1.0,132.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
Latvia,LVA,0.0,0.6666666666666666,1.0,100.0,2.6666666666666665,3.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
Lebanon,LBN,3.0,0.6666666666666666,1.0,128.0,2.6666666666666665,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
Lesotho,LSO,0.0,0.0,2.0,120.0,2.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
Liberia,LBR,2.0,0.6666666666666666,2.0,73.0,2.6666666666666665,3.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
Liechtenstein,LIE,0.0,1.0,1.0,25.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
Lithuania,LTU,1.0,0.5,1.0,141.0,2.5,3.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
Luxembourg,LUX,0.0,1.0,1.0,60.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
Madagascar,MDG,3.0,0.3333333333333333,2.0,151.0,2.333333333333333,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
Malawi,MWI,2.0,0.3333333333333333,1.0,192.0,2.333333333333333,3.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
