Rk,Player,Age,Team,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Fmb,Awards
453,Tay Martin,28,WAS,WR,3,0,2,2,23,11.5,0,1,100,14,0.7,7.7,100,11.5,0,
454,Moliki Matavao,22,NOR,TE,6,2,2,2,10,5,0,0,50,6,0.3,1.7,100,5,0,
455,Ryan Miller,25,TAM,WR,13,3,4,2,34,17,1,1,25,20,0.2,2.6,50,8.5,0,
456,Jalen Royals,22,KAN,WR,7,2,3,2,4,2,0,0,0,2,0.3,0.6,66.7,1.3,0,
457,Jordan Watkins,23,SFO,WR,4,0,3,2,26,13,0,1,33.3,19,0.5,6.5,66.7,8.7,0,
458,Jared Wayne,25,HOU,WR,1,1,2,2,20,10,0,1,50,17,2,20,100,10,0,
459,Blake Whiteheart,25,CLE,TE,17,4,6,2,4,2,0,0,0,4,0.1,0.2,33.3,0.7,1,
460,Caleb Williams,24,CHI,QB,17,17,2,2,22,11,1,2,100,20,0.1,1.3,100,11,9,
461,Colson Yankoff,25,WAS,TE,14,0,3,2,18,9,0,2,66.7,14,0.1,1.3,66.7,6,0,
462,Dareke Young,26,SEA,WR,9,0,3,2,48,24,0,2,66.7,36,0.2,5.3,66.7,16,0,
463,Ben Yurosek,23,MIN,TE,12,1,3,2,14,7,0,1,66.7,9,0.2,1.2,66.7,4.7,0,
464,Zaire Mitchell-Paden,26,2TM,TE,8,1,3,2,17,8.5,0,1,33.3,14,0.3,2.1,66.7,5.7,0,
465,Zaire Mitchell-Paden,26,BAL,TE,6,1,2,1,3,3,0,0,0,3,0.2,0.5,50,1.5,0,
466,Zaire Mitchell-Paden,26,NOR,TE,2,0,1,1,14,14,0,1,100,14,0.5,7,100,14,0,
467,Spencer Anderson,25,PIT,OL,17,7,1,1,4,4,0,0,0,4,0.1,0.2,100,4,0,
468,Jaydon Blue,21,DAL,RB,5,0,1,1,5,5,0,0,0,5,0.2,1,100,5,1,
469,Tahj Brooks,23,CIN,RB,16,0,2,1,9,9,0,0,50,9,0.1,0.6,50,4.5,0,
470,Connor Colby,22,SFO,OL,13,6,1,1,-1,-1,0,0,0,-1,0.1,-0.1,100,-1,0,
471,Devin Culp,25,TAM,TE,13,0,1,1,6,6,1,1,100,6,0.1,0.5,100,6,0,
472,Drake Dabney,23,GNB,TE,2,1,2,1,3,3,0,0,0,3,0.5,1.5,50,1.5,0,
473,Payne Durham,25,TAM,TE,17,10,4,1,11,11,0,1,25,11,0.1,0.6,25,2.8,0,
474,Quinn Ewers,22,MIA,QB,4,3,1,1,-6,-6,0,0,0,-6,0.3,-1.5,100,-6,3,
475,Cody Ford,29,CIN,OT,17,0,1,1,21,21,0,1,100,21,0.1,1.2,100,21,0,
476,Khalil Herbert,27,NYJ,RB,7,0,4,1,4,4,0,0,25,4,0.1,0.6,25,1,0,
477,Evan Hull,25,NOR,RB,6,0,1,1,6,6,0,0,0,6,0.2,1,100,6,0,
478,Terrell Jennings,24,NWE,RB,7,0,1,1,9,9,0,0,100,9,0.1,1.3,100,9,0,
479,Kaleb Johnson,22,PIT,RB,10,0,2,1,9,9,0,0,50,9,0.1,0.9,50,4.5,1,
480,Jacoby Jones,24,WAS,WR,1,0,1,1,25,25,0,1,100,25,1,25,100,25,0,
481,Tim Jones,27,JAX,WR,2,0,1,1,15,15,0,1,100,15,0.5,7.5,100,15,0,
482,Patrick Mahomes,30,KAN,QB,14,14,1,1,-10,-10,0,0,0,-10,0.1,-0.7,100,-10,3,
483,Will Mallory,26,IND,TE,2,0,1,1,16,16,0,1,100,16,0.5,8,100,16,0,
484,Chris Manhertz,33,NYG,TE,17,3,2,1,7,7,0,0,50,7,0.1,0.4,50,3.5,0,
485,Drake Maye,23,NWE,QB,17,17,1,1,2,2,0,0,0,2,0.1,0.1,100,2,8,"PB,AP-2"
486,Jonathan Mingo,24,DAL,WR,6,0,5,1,25,25,0,1,20,25,0.2,4.2,20,5,0,
487,David Moore,30,CAR,WR,4,2,1,1,5,5,0,0,0,5,0.3,1.3,100,5,0,
488,Malachi Moore,24,NYJ,DB,17,14,1,1,3,3,0,1,100,3,0.1,0.2,100,3,1,
489,Bryce Oliver,25,TEN,WR,3,0,1,1,8,8,0,0,100,8,0.3,2.7,100,8,0,
490,Spencer Rattler,25,NOR,QB,9,8,2,1,0,0,0,0,0,,0.1,0,50,0,4,
491,Nikko Remigio,26,KAN,WR,14,0,1,1,21,21,0,1,100,21,0.1,1.5,100,21,2,
492,Patrick Ricard,31,BAL,FB,11,5,2,1,8,8,0,0,50,8,0.1,0.7,50,4,0,"PB,AP-2"
493,Anthony Richardson,23,IND,QB,2,0,1,1,9,9,0,1,100,9,0.5,4.5,100,9,0,
494,Aaron Rodgers,42,PIT,QB,16,16,1,1,-9,-9,0,0,0,-9,0.1,-0.6,100,-9,4,
495,Carter Runyon,24,LVR,TE,13,0,1,1,3,3,0,0,0,3,0.1,0.2,100,3,0,
496,Jeffery Simmons,28,TEN,DT,15,15,1,1,1,1,1,1,100,1,0.1,0.1,100,1,0,"PB,AP-1"
497,Quentin Skinner,24,NYJ,WR,1,0,1,1,10,10,0,1,100,10,1,10,100,10,0,
498,Robert Tonyan,31,KAN,TE,17,0,1,1,1,1,0,0,0,1,0.1,0.1,100,1,0,
499,Samori Toure,27,NOR,WR,1,0,3,1,3,3,0,0,0,3,1,3,33.3,1,0,
