Season,Season Type,Week,Player Name,Position,Team Abbreviation,Avg Cushion,Avg Separation,Avg Intended Air Yards,Share of Intended Air Yards (%),Receptions,Targets,Catch Percentage,Yards,Receiving Touchdowns,Avg Yards After Catch,Avg Expected YAC,YAC Above Expectation,Player GSIS ID
2025,REG,9,Kyle Pitts,TE,ATL,7.3757142857142854,2.628267456862416,11.897142857142857,25.57503915486902,4,7,57.14285714285714,38.0,0,1.205,2.0420622541181244,-0.8370622541181243,00-0036970
2025,REG,9,Jaylin Lane,WR,WAS,7.286,3.265102804514573,8.376000000000001,34.551604653081434,3,5,60.0,29.0,0,4.006666666666665,3.75233797502248,0.25432869164418515,00-0040164
2025,REG,9,Darius Slayton,WR,NYG,7.109999999999999,3.2116901625396177,11.892857142857142,43.790437115354266,5,7,71.42857142857143,62.0,0,4.052,4.554866354526439,-0.5028663545264394,00-0035535
2025,REG,9,Xavier Worthy,WR,KC,7.0200000000000005,2.56439902539394,17.69,29.64851793324714,3,7,42.857142857142854,23.0,0,1.576666666666668,2.1925056337362334,-0.6158389670695654,00-0039894
2025,REG,9,Jaylen Waddle,WR,MIA,7.015555555555554,2.5442861228363345,9.489999999999998,35.31673833939794,6,9,66.66666666666666,82.0,0,3.5666666666666687,5.934805887393935,-2.3681392207272665,00-0036613
2025,REG,9,Theo Johnson,TE,NYG,6.92,3.814226036905992,6.613333333333332,20.872126663510592,3,6,50.0,27.0,1,6.660000000000001,7.942351935377701,-1.2823519353777,00-0039847
2025,REG,9,Brock Bowers,TE,LV,6.668000000000001,2.8351713522536346,6.363846153846153,49.939635397802725,12,13,92.3076923076923,127.0,3,5.2008333333333345,3.1918571688582156,2.008976164475119,00-0039338
2025,REG,9,Marvin Harrison Jr.,WR,ARI,6.661,2.8526083078261673,11.725,46.40256450846921,7,10,70.0,96.0,1,3.065714285714285,1.5272171571769573,1.5384971285373277,00-0039849
2025,REG,9,Xavier Hutchinson,WR,HOU,6.6259999999999994,2.0459863006245826,9.994000000000003,15.34092653424616,3,5,60.0,30.0,0,1.4433333333333305,2.0883108738970377,-0.6449775405637073,00-0038618
2025,REG,9,Khalil Shakir,WR,BUF,6.5699999999999985,5.155181848528578,0.19375000000000053,1.3590530469092543,7,8,87.5,43.0,0,7.689999999999999,9.781179856313559,-2.09117985631356,00-0037261
2025,REG,9,Deebo Samuel Sr.,WR,WAS,6.5680000000000005,4.079166813288421,0.7916666666666666,3.918818579325139,5,6,83.33333333333334,41.0,0,7.69,7.393180473842131,0.29681952615786944,00-0035719
2025,REG,9,George Pickens,WR,DAL,6.5566666666666675,2.2974324791222562,12.417777777777777,27.806528662420376,6,9,66.66666666666666,79.0,0,2.8316666666666683,1.3454838041125565,1.4861828625541118,00-0037247
2025,REG,9,Jakobi Meyers,WR,LV,6.546000000000001,3.2812656676480483,5.4916666666666645,19.89013642400096,4,6,66.66666666666666,23.0,0,3.042500000000002,1.8450094708925349,1.1974905291074673,00-0034960
2025,REG,9,Jameson Williams,WR,DET,6.373333333333332,2.363775906870306,10.35,25.04234212436487,4,6,66.66666666666666,66.0,1,5.7575,4.1372152072742665,1.6202847927257338,00-0037240
2025,REG,9,Trey McBride,TE,ARI,6.22,2.9161353055498465,10.786666666666669,38.420136140573064,5,9,55.55555555555556,55.0,1,3.306,2.506710245562317,0.7992897544376829,00-0037744
2025,REG,9,Darnell Washington,TE,PIT,6.218333333333334,1.6880065860955167,6.208333333333332,38.93185618729096,4,6,66.66666666666666,43.0,0,3.4650000000000016,2.08489550553918,1.3801044944608218,00-0038558
2025,REG,9,DeMario Douglas,WR,NE,6.136000000000001,1.340922405619432,21.418333333333326,47.21160911094783,4,6,66.66666666666666,100.0,1,7.790000000000001,3.7082896901072218,4.081710309892779,00-0038621
2025,REG,9,Nico Collins,WR,HOU,6.125454545454546,1.9379561878989444,13.184545454545452,44.52460626899579,7,11,63.63636363636363,75.0,0,2.4357142857142873,2.0078542953690834,0.42785999034520383,00-0036554
2025,REG,9,Colston Loveland,TE,CHI,6.108,3.2558451559842783,10.171428571428569,25.912581431742908,6,7,85.71428571428571,118.0,2,10.046666666666669,3.9114385992463787,6.1352280674202895,00-0040126
2025,REG,9,Ladd McConkey,WR,LAC,6.021666666666667,3.6821748579653497,7.278333333333335,14.69479776566391,4,6,66.66666666666666,56.0,0,9.344999999999999,6.905969715789297,2.439030284210702,00-0039915
2025,REG,9,DJ Moore,WR,CHI,6.016,4.684942296978328,13.841666666666667,30.225279324525967,4,6,66.66666666666666,72.0,0,8.862499999999999,7.278169771039387,1.5843302289606118,00-0034827
2025,REG,9,Michael Mayer,TE,LV,5.919999999999999,2.7169928729310233,6.948571428571428,29.36134250875287,3,7,42.857142857142854,26.0,0,6.496666666666665,5.498491857695929,0.9981748089707363,00-0039066
2025,REG,9,Sam LaPorta,TE,DET,5.541428571428571,3.3834484427121185,6.5075,20.99362851842891,6,8,75.0,97.0,1,10.031666666666666,9.173995127951343,0.8576715387153229,00-0039065
2025,REG,9,Josh Downs,WR,IND,5.4825,3.2730662770051375,5.348888888888888,11.79092779465073,6,9,66.66666666666666,50.0,1,1.8616666666666681,1.6456188856853515,0.2160477809813166,00-0038997
2025,REG,9,Tee Higgins,WR,CIN,5.343333333333334,1.2288567981143463,13.94111111111111,29.421282183557658,7,9,77.77777777777779,121.0,2,4.267142857142858,2.864014844374034,1.403128012768824,00-0036410
2025,REG,9,Dyami Brown,WR,JAX,5.2379999999999995,2.9672382497460745,11.88857142857143,29.534726904922454,3,7,42.857142857142854,25.0,0,1.6266666666666663,2.4591390887482967,-0.8324724220816304,00-0036626
2025,REG,9,Brian Thomas Jr.,WR,JAX,5.22,2.4468479886542642,17.03,30.219682719948892,3,5,60.0,55.0,0,8.033333333333331,1.585427347072823,6.447905986260508,00-0039893
2025,REG,9,Jake Ferguson,TE,DAL,5.204285714285713,3.1681489660894293,5.392857142857143,9.392416401273886,5,7,71.42857142857143,50.0,0,5.38,4.169103729956561,1.2108962700434391,00-0038041
2025,REG,9,Rashee Rice,WR,KC,5.1033333333333335,2.784739918954056,11.698571428571428,19.60685725231049,4,7,57.14285714285714,80.0,0,7.297499999999999,10.128952969901093,-2.8314529699010933,00-0039067
2025,REG,9,Christian Kirk,WR,HOU,5.071428571428571,1.6824861944325364,7.937499999999999,19.494673502594175,4,8,50.0,26.0,0,0.19250000000000167,0.7315772859945175,-0.5390772859945159,00-0034775
