"gsis_id","headshot"
"ADA775208","https://static.www.nfl.com/image/private/f_auto,q_auto/league/zlpqp40wpnonzhvscqxf"
"00-0028999","https://static.www.nfl.com/image/private/f_auto,q_auto/league/jtxy03ajz3bjwc8fxbw7"
"00-0030312","https://static.www.nfl.com/image/private/f_auto,q_auto/league/orbwmzogmxytlb5rk4i4"
"00-0024245","https://static.www.nfl.com/image/private/f_auto,q_auto/league/hh0ebpwy5udobw9gbqoe"
"00-0035677","https://static.www.nfl.com/image/private/f_auto,q_auto/league/dpvexbntnac14qw14k5d"
"00-0037686","https://static.www.nfl.com/image/private/f_auto,q_auto/league/cksjjfvjnvpwcs60giyw"
"00-0032482","https://static.www.nfl.com/image/private/f_auto,q_auto/league/otwc8iuqmogqjh2j8zow"
"00-0000076","https://static.www.nfl.com/image/private/f_auto,q_auto/league/kuxmuw2hpjnvixf4wulh"
"00-0038994","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/s2ey8g5memyqvxc52uzy"
"00-0028339","https://static.www.nfl.com/image/private/f_auto,q_auto/league/bapzewurohnyaqq1p3ud"
"00-0039031","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/of8dhgchuzh584ipm4ut"
"00-0036937","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/syndlzqvjmmeplufohl8"
"00-0033366","https://static.www.nfl.com/image/private/f_auto,q_auto/league/yipbvltnyhalez8l8qsu"
"00-0036310","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/qcoi4yerqm7urfbnscft"
"00-0027462","https://static.www.nfl.com/image/private/f_auto,q_auto/league/ptdwe76zv5gq0urpmerr"
"00-0034204","https://static.www.nfl.com/image/private/f_auto,q_auto/league/uhae1hw5trbyhjxlknnv"
"00-0035136","https://static.www.nfl.com/image/private/f_auto,q_auto/league/d4npplxwllhowsrlhrwh"
"00-0024328","https://static.www.nfl.com/image/private/f_auto,q_auto/league/i8npfprcpd92yeityymc"
"00-0022795","https://static.www.nfl.com/image/private/f_auto,q_auto/league/ssbc5fiafuw5enjimnqq"
"00-0026258","https://static.www.nfl.com/image/private/f_auto,q_auto/league/cbdspam7d3jp6fdoyjdg"
"ADI276861","https://static.www.nfl.com/image/private/f_auto,q_auto/league/fwxsrow6oztcjvgekdjf"
"00-0000083","https://static.www.nfl.com/image/private/f_auto,q_auto/league/w7ehw8m3v4otr7rniuyr"
"00-0032273","https://static.www.nfl.com/image/private/f_auto,q_auto/league/ztnhqfeurotvl0jsouaf"
"ADK138430","https://static.www.nfl.com/image/private/f_auto,q_auto/league/edn9jxvmlpz4gz4fvfmz"
"00-0038783","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/k3js5r3a9fl0q2gghqmv"
